file,sentId,eId,eiId,eText,normalization,CT_plus,CT_minus,PR_plus,PR_minus,PS_plus,PS_minus,Uu
ABC19980108.1830.0711.tml,2,e4,ei378,helping,the financial assistance from the World Bank and the International Monetary Fund are helping,0,9,0,1,0,0,0
ABC19980108.1830.0711.tml,15,e30,ei398,break,Wong Kwan will break even,0,0,0,5,0,1,4
ABC19980108.1830.0711.tml,18,e34,ei401,find,Pak can find buyers,0,9,0,0,0,0,1
ABC19980108.1830.0711.tml,23,e46,ei412,spending,people are spending in Asia,0,7,0,1,0,0,2
ABC19980108.1830.0711.tml,29,e54,ei419,layoffs,there will be layoffs,1,0,3,0,6,0,0
ABC19980114.1830.0611.tml,4,e236,ei277,hint,there was no hint of trouble in the last conversation,10,0,0,0,0,0,0
ABC19980114.1830.0611.tml,12,e61,ei267,response,there is a response,2,8,0,0,0,0,0
ABC19980114.1830.0611.tml,16,e235,ei275,contact,controllers could contact the plane,0,10,0,0,0,0,0
ABC19980120.1830.0957.tml,12,e100,ei438,able,"Castro will be able to say to the rest of the world, this government is not as closed, as intolerant, as totalitarian as some make it out to be",5,0,2,0,0,0,3
ABC19980120.1830.0957.tml,13,e107,ei446,relationship,there will be a more productive relationship between Cuba and the world,0,0,0,0,8,0,2
ABC19980120.1830.0957.tml,15,e52,ei450,battle,there will be a battle,0,1,0,7,0,0,2
ABC19980120.1830.0957.tml,15,e53,ei451,disappointed,the observers will be disappointed,0,0,9,0,1,0,0
ABC19980120.1830.0957.tml,19,e64,ei459,persuade,the Pope's visit will persuade a great many more Cubans to break loose of the Cuban government,0,0,0,1,9,0,0
ABC19980120.1830.0957.tml,19,e66,ei460,break,many more Cubans will break loose of the Cuban government,1,0,0,0,5,0,4
ABC19980304.1830.1636.tml,7,e254,ei289,in,a woman had been in charge,1,9,0,0,0,0,0
ABC19980304.1830.1636.tml,15,e24,ei280,hurried,someone hurried her up,2,8,0,0,0,0,0
ABC19980304.1830.1636.tml,16,e25,ei281,held,someone held her back,1,9,0,0,0,0,0
AP900815-0044.tml,3,e10,ei1524,release,Saddam Hussein will release soldiers captured during the Iran-Iraq war,1,0,4,0,3,0,2
AP900815-0044.tml,12,e61,ei1558,read,a letter was read,10,0,0,0,0,0,0
AP900815-0044.tml,15,e84,ei1577,aimed,the move aimed at heading off more trouble with Iran,3,0,4,0,2,0,1
AP900815-0044.tml,18,e100,ei1592,urging,Dick Cheney is urging Bush to order a national callup of armed forces reserves for active duty,0,1,2,0,5,0,2
AP900815-0044.tml,18,e101,ei1593,order,Bush will order a national callup of armed forces reserves for active duty,0,0,0,0,6,0,4
AP900815-0044.tml,18,e103,ei1595,duty,there will be active duty,1,0,0,0,5,0,4
AP900815-0044.tml,19,e107,ei1598,call,"Bush will call up to 200,000 reservists",0,0,0,0,3,0,7
AP900815-0044.tml,30,e158,ei1639,identified,the spokesman was identified,1,9,0,0,0,0,0
AP900815-0044.tml,40,e198,ei1667,disclosed,the size of the contingent was disclosed,0,10,0,0,0,0,0
AP900815-0044.tml,47,e233,ei1692,conference,there will be an international conference,1,0,3,0,2,0,4
AP900815-0044.tml,51,e255,ei1711,blockade,there will be an anti-Iraq naval blockade,2,0,2,0,2,0,4
AP900815-0044.tml,59,e285,ei1734,committed,"at least 50,000 U.S. troops will be committed to Desert Shield within weeks",1,0,9,0,0,0,0
AP900816-0139.tml,6,e27,ei1554,entry,there is entry of foodstuffs,0,10,0,0,0,0,0
AP900816-0139.tml,19,e233,ei1588,expansionism,there is Iraqi expansionism,0,0,2,0,3,0,5
AP900816-0139.tml,35,e255,ei1644,firing,there will be firing,1,0,0,0,7,0,2
AP900816-0139.tml,36,e103,ei1647,engaged,U.S. Air Force fliers have engaged in ``a little cat and mouse'' with Iraqi warplanes,9,0,0,0,1,0,0
AP900816-0139.tml,36,e104,ei1648,retreated,Iraqi warplanes retreated when weapons radar locks onto them,9,0,0,1,0,0,0
AP900816-0139.tml,37,e107,ei1650,want,they want to play,0,9,0,0,0,0,1
AP900816-0139.tml,59,e171,ei1709,decision,there was a decision,0,10,0,0,0,0,0
AP900816-0139.tml,66,e194,ei1733,confirmation,there was an independent confirmation of the report by the government-run news agency,0,10,0,0,0,0,0
APW19980213.1320.tml,6,e31,ei330,flights,there are flights to South Korea,1,7,1,0,1,0,0
APW19980213.1380.tml,7,e162,ei320,ransom,the kidnappaers got a ransom of dlrs 1 million,0,4,0,1,0,1,4
APW19980213.1380.tml,8,e15,ei323,gave,police gave details,0,10,0,0,0,0,0
APW19980213.1380.tml,11,e23,ei332,targeted,people are targeted by kidnappers,1,0,0,0,7,0,2
APW19980213.1380.tml,13,e54,ei340,common,kidnappings has been common in this U.S. commonwealth,0,9,0,1,0,0,0
APW19980219.0476.tml,6,e7,ei2460,killed,a British mine removal expert got killed by Khmer Rouge guerrillas almost two years ago,3,0,5,0,1,0,1
APW19980219.0476.tml,15,e42,ei2489,continue,the speaker and his people will continue to do everything they can,7,0,1,0,2,0,0
APW19980219.0476.tml,19,e83,ei2513,sent,the remains will be sent across the border into Thailand and onward to Bangkok,4,0,4,0,2,0,0
APW19980227.0468.tml,5,e1,ei104,allocated,the mayor of Moscow allocated funds to help build a museum in honor of Mikhail Kalashnikov,10,0,0,0,0,0,0
APW19980227.0476.tml,6,e1997,ei2094,trial,the trial of the two Libyans suspected of blowing up a Pan Am jumbo jet over Scotland in 1988 happened,0,10,0,0,0,0,0
APW19980227.0476.tml,7,e10,ei2102,press,it will press anew for a trial in a third neutral country,5,0,5,0,0,0,0
APW19980227.0487.tml,11,e44,ei426,serious,Amir was serious,0,0,0,2,0,1,7
APW19980227.0489.tml,8,e19,ei2071,look,the panel also will look at the exodus,7,0,3,0,0,0,0
APW19980227.0494.tml,5,e3,ei2308,resolved,Presidents Leonid Kuchma and Boris Yeltsin resolved even more nagging problems,4,0,3,0,3,0,0
APW19980227.0494.tml,25,e107,ei2366,cooperation,"there will be cooperation in the metallurgy, fuel, energy, aircraft building, missile, space and chemical industries",4,0,2,0,2,0,2
APW19980227.0494.tml,27,e114,ei2370,coordination,there will be coordination of economic reforms and joint improvement of social programs in the two countries,0,0,2,0,1,0,7
APW19980301.0720.tml,5,e3,ei2000,wants,Israel wants to withdraw from southern Lebanon,3,0,5,0,2,0,0
APW19980301.0720.tml,6,e10,ei2006,withdraw,Israel will withdraw from southern Lebanon,0,0,1,0,5,0,4
APW19980301.0720.tml,7,e14,ei2008,cooperate,the Lebanese government will cooperate,1,0,0,0,2,0,7
APW19980301.0720.tml,12,e43,ei2029,stay,no-one wants to stay in Lebanon,6,0,0,0,4,0,0
APW19980301.0720.tml,13,e44,ei2030,think,the speaker and his people think it's better to withdraw,9,0,0,0,0,0,1
APW19980301.0720.tml,17,e61,ei2041,faced,the Israeli government has been faced with a growing grassroots movement,10,0,0,0,0,0,0
APW19980301.0720.tml,22,e84,ei2059,talks,there are peace talks between the two countries,0,5,0,0,2,0,3
APW19980301.0720.tml,25,e100,ei2072,talks,there are Israel-Syrian talks,4,5,0,0,0,0,1
APW19980306.1001.tml,8,e10,ei1239,inspected,All sites were inspected to the satisfaction of the inspection team,10,0,0,0,0,0,0
APW19980306.1001.tml,12,e27,ei1250,last, the tour will last over a week,0,0,10,0,0,0,0
APW19980306.1001.tml,13,e37,ei1257,enter,Ritter's team could enter the sites,1,9,0,0,0,0,0
APW19980306.1001.tml,26,e98,ei1295,expected,Palace inspections are expected to start before the new agreement's procedures are in place,0,7,1,2,0,0,0
APW19980306.1001.tml,29,e114,ei1303,lift,the Security Council will lift the sweeping sanctions imposed on Iraq,0,3,0,3,1,3,0
APW19980322.0749.tml,9,e15,ei2036,attempt,there is a latest attempt by extremists to undermine the peace process,3,0,4,0,3,0,0
APW19980322.0749.tml,12,e36,ei2047,carried,the Mitsubishi truck carried the bomb,1,6,1,0,2,0,0
APW19980322.0749.tml,13,e42,ei2050,conclude,the multi-party talks will conclude by May,0,0,10,0,0,0,0
APW19980322.0749.tml,29,e105,ei2098,hit,an unmarked police car was hit with gasoline bombs from the Protestant side,8,0,1,0,1,0,0
APW19980501.0480.tml,10,e48,ei266,initiatives,there will be electronic commerce initiatives in the country,3,0,3,0,1,0,3
CNN19980126.1600.1104.tml,7,e46,ei269,intense,it's fairly intense for AT and T and the people here,4,0,4,0,1,0,1
CNN19980213.2130.0155.tml,6,e40,ei601,authorized,the united states is authorized to use force before going to the council,0,10,0,0,0,0,0
CNN19980213.2130.0155.tml,7,e50,ei608,harm,there will be serious harm to relations with the Kremlin,1,0,1,0,8,0,0
CNN19980213.2130.0155.tml,7,e118,ei607,do,US air strikes against Iraq will do serious harm to relations with the Kremlin,1,0,1,0,8,0,0
CNN19980213.2130.0155.tml,10,e61,ei618,arrived,the president arrived in Philadelphia,10,0,0,0,0,0,0
CNN19980213.2130.0155.tml,13,e141,ei631,planned,Annan planned a trip,0,9,0,1,0,0,0
CNN19980222.1130.0084.tml,2,e1,ei156,appears,diplomacy appears to be making headway in resolving the united nation's standoff with Iraq,7,0,1,0,2,0,0
CNN19980222.1130.0084.tml,2,e2,ei157,making,diplomacy is making headway in resolving the united nation's standoff with Iraq,0,0,7,0,3,0,0
CNN19980222.1130.0084.tml,2,e4,ei158,resolving,diplomacy is resolving the united nation's standoff with Iraq,0,0,5,0,5,0,0
CNN19980222.1130.0084.tml,5,e73,ei167,meet,he will meet with Iraqi deputy prime minister Tariq Aziz,3,0,6,0,1,0,0
CNN19980223.1130.0960.tml,1,e26,ei148,conflict,there will be a military conflict with Iraq,0,0,2,0,7,0,1
CNN19980223.1130.0960.tml,2,e28,ei151,solution,there is a diplomatic solution to the crisis,0,0,8,0,1,0,1
CNN19980223.1130.0960.tml,2,e32,ei153,hand,a diplomatic solution to the crisis is at hand,1,0,8,0,1,0,0
CNN19980223.1130.0960.tml,2,e33,ei155,fall,oil prices will fall further,2,0,7,0,0,0,1
CNN19980223.1130.0960.tml,4,e13,ei162,increase,the momentum will increase,0,0,7,0,3,0,0
CNN19980227.2130.0067.tml,2,e8,ei2001,related,a series of bombings in Atalanta and last month's explosion at an Alabama women's clinic are related,0,0,2,0,8,0,0
CNN19980227.2130.0067.tml,16,e36,ei2017,match,the plates match those found at the abortion clinic bombing in Atlanta,3,0,4,0,3,0,0
CNN19980227.2130.0067.tml,19,e102,ei2027,extraordinary,it would be extraordinary,7,0,0,2,1,0,0
CNN19980227.2130.0067.tml,19,e104,ei2029,connection,there is a connection,0,0,7,1,2,0,0
CNN19980227.2130.0067.tml,22,e61,ei2035,attack,there was an attack on a gay lounge,10,0,0,0,0,0,0
CNN19980227.2130.0067.tml,25,e72,ei2043,suspect,officials suspect a link between all the bombings,6,0,4,0,0,0,0
CNN19980227.2130.0067.tml,25,e110,ei2044,link,there is a link between all the bombings,0,0,5,0,5,0,0
NYT19980206.0460.tml,8,e1,ei2184,created,the economy created jobs at a surprisingly robust pace in January,10,0,0,0,0,0,0
NYT19980206.0460.tml,9,e10,ei2191,added,"the economy added 358,000 jobs last month",10,0,0,0,0,0,0
NYT19980206.0460.tml,21,e61,ei2224,counterbalanced,potential inflation is counterbalanced by worries,7,0,1,0,1,0,1
NYT19980206.0460.tml,21,e246,ei2225,declines,there will be price declines,0,0,0,0,8,0,2
NYT19980206.0460.tml,29,e107,ei2251,move,the federal budget will soon move from deficit into surplus,1,0,5,0,4,0,0
NYT19980206.0460.tml,37,e162,ei2270,lead,the situation will lead to a surge of inexpensive imports into the United States,1,0,8,0,1,0,0
NYT19980206.0460.tml,37,e163,ei2271,surge,there will be a surge of inexpensive imports into the United States,1,0,6,0,2,0,1
NYT19980206.0460.tml,38,e166,ei2274,lead,the weakness of the Asian economies will lead to decreased demand for American exports,1,0,6,0,3,0,0
NYT19980206.0460.tml,38,e167,ei2275,demand,there will be a decreased demand for American exports,0,0,7,0,2,0,1
NYT19980212.0019.tml,4,e1,ei210,watching,The woman was watching her clothes dry in a laundromat,10,0,0,0,0,0,0
NYT19980212.0019.tml,5,e10,ei217,waiting,the victim was waiting for her clothes to dry,10,0,0,0,0,0,0
NYT19980402.0453.tml,4,e1,ei2217,began,a new Essex County task force began delving Thursday into the slayings of 14 black women over the last five years in the Newark area,10,0,0,0,0,0,0
NYT19980402.0453.tml,5,e51,ei2230,prostitutes,several of the victims were prostitutes,1,0,7,0,1,0,1
NYT19980402.0453.tml,10,e30,ei2252,indicate,these different methods of killing and other evidence indicate that the eight cases are not related,2,0,8,0,0,0,0
NYT19980402.0453.tml,10,e31,ei2254,related,the eight cases are related,0,5,0,5,0,0,0
NYT19980402.0453.tml,12,e36,ei2260,arrests,there have been arrests in the slayings,0,10,0,0,0,0,0
NYT19980424.0421.tml,10,e43,ei2131,agree,Justices Sandra Day O'Connor and Anthony Kennedy agree that the law amounted to unconstitutional sex discrimination,1,0,8,0,0,0,1
NYT19980424.0421.tml,10,e44,ei2132,amounted,the law amounted to unconstitutional sex discrimination,3,0,4,0,2,0,1
PRI19980115.2000.0186.tml,7,e2004,ei2286,eligible,Keating got eligible for parole,1,7,0,0,0,0,2
PRI19980115.2000.0186.tml,8,e20,ei2293,raised,the issues had been raised before,0,10,0,0,0,0,0
PRI19980115.2000.0186.tml,9,e24,ei2298,send,the ruling will send Keating's lawyers back to state court,0,0,10,0,0,0,0
PRI19980121.2000.2591.tml,5,e6,ei2004,used,the city used some special protection in nineteen seventy-nine when the Soviet Union invaded Afghanistan,0,6,0,3,0,0,1
PRI19980121.2000.2591.tml,5,e8,ei2005,protection,the city got some special protection,0,6,0,3,0,0,1
PRI19980205.2000.1890.tml,1,e1,ei158,bolstering,the US is bolstering its military presence in the gulf,10,0,0,0,0,0,0
PRI19980205.2000.1998.tml,8,e49,ei2018,eager,the German electorate is increasingly eager to dispense with the services of Europe's longest serving leader,4,0,5,0,1,0,0
PRI19980213.2000.0313.tml,4,e11,ei214,destroy,soil will destroy things in its path,7,0,0,0,2,0,1
PRI19980213.2000.0313.tml,6,e18,ei218,hurt,some people were hurt,0,10,0,0,0,0,0
PRI19980216.2000.0170.tml,1,e1,ei222,called,the British government called for Sinn Fein to be expelled from the multiparty peace talks on northern Ireland,10,0,0,0,0,0,0
PRI19980303.2000.2550.tml,4,e14,ei547,laid,local residents have laid out the red carpet,0,6,0,3,0,1,0
PRI19980303.2000.2550.tml,25,e155,ei584,further,the speaker and his people further the purpose of human rights,0,3,0,0,0,0,7
PRI19980303.2000.2550.tml,26,e86,ei592,compelled,the Saudis are compelled to allow Christians to worship in their country,0,10,0,0,0,0,0
PRI19980303.2000.2550.tml,26,e89,ei593,allow,the Saudis allow Christians to worship in their country,0,5,0,3,0,0,2
PRI19980303.2000.2550.tml,28,e100,ei599,embrace,the citizens of Loudon county embrace religious and human freedom,4,0,0,1,0,0,5
PRI19980303.2000.2550.tml,29,e102,ei601,rule,they'll rule on the application based only on land use issues,7,0,3,0,0,0,0
PRI19980303.2000.2550.tml,29,e108,ei603,ignore,Loudon county officials will ignore all the other objections,7,0,2,0,1,0,0
PRI19980306.2000.1675.tml,7,e11,ei209,confirmed,Belgrade confirmed the operation was over,0,7,1,0,0,0,2
PRI19980306.2000.1675.tml,7,e14,ei212,planned,the whole attack was planned in Belgrade,0,0,7,0,1,0,2
VOA19980303.1600.0917.tml,1,e1,ei2222,clashed,Nigerian security forces clashed in Lagos with anti-government demonstrators,10,0,0,0,0,0,0
VOA19980303.1600.0917.tml,1,e3,ei2224,run,Sani Abacha will run for president,0,0,1,0,3,0,6
VOA19980303.1600.0917.tml,6,e18,ei2247,announced,General Abacha had publicly announced his candidacy,0,10,0,0,0,0,0
VOA19980303.1600.2745.tml,13,e61,ei50035,sold,over fifty thousand CDs a year are sold,7,0,1,1,1,0,0
VOA19980303.1600.2745.tml,19,e90,ei50052,received,The Federal Bureau of Investigation received more than eight thousand reports of hate group crimes last year,10,0,0,0,0,0,0
VOA19980303.1600.2745.tml,20,e101,ei50060,have,police departments have accurately reported hate crimes in the past,1,3,1,2,0,1,2
VOA19980305.1800.2603.tml,11,e18,ei449,become,women become victims of armed attack,0,8,0,1,0,0,1
VOA19980305.1800.2603.tml,11,e85,ei453,right,women have the right to work,1,8,0,0,0,0,1
VOA19980305.1800.2603.tml,22,e101,ei481,conditions,there are conditions of peace and justice,0,0,0,3,1,0,6
VOA19980305.1800.2603.tml,24,e104,ei485,appealing,her group is appealing to individuals,10,0,0,0,0,0,0
VOA19980331.1700.1533.tml,1,e1,ei267,announced,the US government recently announced new regulations,10,0,0,0,0,0,0
VOA19980331.1700.1533.tml,7,e43,ei290,made,allowances are made for the most needy patients,8,0,1,0,0,1,0
VOA19980331.1700.1533.tml,9,e45,ei292,waiting,there are huge waiting time disparities,0,8,0,2,0,0,0
VOA19980331.1700.1533.tml,11,e48,ei294,doing,they're doing this because the sickest patients are n't being served,0,5,0,4,1,0,0
VOA19980331.1700.1533.tml,11,e52,ei295,served,the sickest patients are served,0,10,0,0,0,0,0
VOA19980501.1800.0355.tml,3,e26,ei170,peace,there is peace,1,7,0,1,1,0,0
VOA19980501.1800.0355.tml,3,e61,ei165,conference,there was a news conference,10,0,0,0,0,0,0
WSJ900813-0157.tml,4,e417,ei1142,withdraw,the Iraqi leader will withdraw his troops from Kuwait,0,0,0,2,7,0,1
WSJ900813-0157.tml,5,e419,ei1144,hopes,he hopes to lure support from Arabs,6,0,4,0,0,0,0
WSJ900813-0157.tml,5,e425,ei1149,use,Iraq will use its occupation of Kuwait as a lever to solve the Arab world's most frustrating problem,2,0,1,0,2,0,5
WSJ900813-0157.tml,8,e434,ei1175,export,there is export of oil,5,0,4,0,0,0,1
WSJ900813-0157.tml,11,e44,ei1192,compliance,there will be compliance with the sanctions,0,0,5,0,0,0,5
WSJ900813-0157.tml,13,e61,ei1203,asked,reporters asked whether the interdiction would apply to food,10,0,0,0,0,0,0
WSJ900813-0157.tml,27,e163,ei1255,negotiations,there will be negotiations,3,0,0,1,3,0,3
